"Step","half cheetah leg weight - valid_returns","half cheetah leg weight - valid_returns__MIN","half cheetah leg weight - valid_returns__MAX"
"417","181.88218688964844","181.88218688964844","181.88218688964844"
"418","180.7409210205078","180.7409210205078","180.7409210205078"
"419","181.99041748046875","181.99041748046875","181.99041748046875"
"420","181.83242797851562","181.83242797851562","181.83242797851562"
"421","180.9307098388672","180.9307098388672","180.9307098388672"
"422","181.5989227294922","181.5989227294922","181.5989227294922"
"423","181.19984436035156","181.19984436035156","181.19984436035156"
"424","181.88746643066406","181.88746643066406","181.88746643066406"
"425","182.26333618164062","182.26333618164062","182.26333618164062"
"426","181.07582092285156","181.07582092285156","181.07582092285156"
"427","181.30189514160156","181.30189514160156","181.30189514160156"
"428","181.9485321044922","181.9485321044922","181.9485321044922"
"429","181.61767578125","181.61767578125","181.61767578125"
"430","180.7098846435547","180.7098846435547","180.7098846435547"
"431","182.7354736328125","182.7354736328125","182.7354736328125"
"432","182.22264099121094","182.22264099121094","182.22264099121094"
"433","182.54327392578125","182.54327392578125","182.54327392578125"
"434","181.92039489746094","181.92039489746094","181.92039489746094"
"435","182.42271423339844","182.42271423339844","182.42271423339844"
"436","182.90455627441406","182.90455627441406","182.90455627441406"
"437","182.3496856689453","182.3496856689453","182.3496856689453"
"438","182.30706787109375","182.30706787109375","182.30706787109375"
"439","182.88101196289062","182.88101196289062","182.88101196289062"
"440","184.0682830810547","184.0682830810547","184.0682830810547"
"441","182.99925231933594","182.99925231933594","182.99925231933594"
"442","183.16195678710938","183.16195678710938","183.16195678710938"
"443","183.32008361816406","183.32008361816406","183.32008361816406"
"444","182.98460388183594","182.98460388183594","182.98460388183594"
"445","183.04624938964844","183.04624938964844","183.04624938964844"
"446","182.62913513183594","182.62913513183594","182.62913513183594"
"447","183.19247436523438","183.19247436523438","183.19247436523438"
"448","183.7439422607422","183.7439422607422","183.7439422607422"
"449","183.43923950195312","183.43923950195312","183.43923950195312"
"450","184.17523193359375","184.17523193359375","184.17523193359375"
"451","184.77496337890625","184.77496337890625","184.77496337890625"
"452","184.76515197753906","184.76515197753906","184.76515197753906"
"453","183.25326538085938","183.25326538085938","183.25326538085938"
"454","184.0421905517578","184.0421905517578","184.0421905517578"
"455","184.50503540039062","184.50503540039062","184.50503540039062"
"456","184.55418395996094","184.55418395996094","184.55418395996094"
"457","184.70034790039062","184.70034790039062","184.70034790039062"
"458","185.05166625976562","185.05166625976562","185.05166625976562"
"459","184.8272247314453","184.8272247314453","184.8272247314453"
"460","185.23898315429688","185.23898315429688","185.23898315429688"
"461","185.04701232910156","185.04701232910156","185.04701232910156"
"462","186.19686889648438","186.19686889648438","186.19686889648438"
"463","184.7412567138672","184.7412567138672","184.7412567138672"
"464","185.2376708984375","185.2376708984375","185.2376708984375"
"465","184.5342254638672","184.5342254638672","184.5342254638672"
"466","185.81906127929688","185.81906127929688","185.81906127929688"
"467","184.7572021484375","184.7572021484375","184.7572021484375"
"468","185.06076049804688","185.06076049804688","185.06076049804688"
"469","186.7139434814453","186.7139434814453","186.7139434814453"
"470","186.2904052734375","186.2904052734375","186.2904052734375"
"471","186.45126342773438","186.45126342773438","186.45126342773438"
"472","185.8233642578125","185.8233642578125","185.8233642578125"
"473","185.18470764160156","185.18470764160156","185.18470764160156"
"474","186.1443328857422","186.1443328857422","186.1443328857422"
"475","184.9751434326172","184.9751434326172","184.9751434326172"
"476","186.17054748535156","186.17054748535156","186.17054748535156"
"477","186.22027587890625","186.22027587890625","186.22027587890625"
"478","186.5603485107422","186.5603485107422","186.5603485107422"
"479","185.5889129638672","185.5889129638672","185.5889129638672"
"480","186.9755096435547","186.9755096435547","186.9755096435547"
"481","185.59913635253906","185.59913635253906","185.59913635253906"
"482","187.6974639892578","187.6974639892578","187.6974639892578"
"483","186.34490966796875","186.34490966796875","186.34490966796875"
"484","186.32957458496094","186.32957458496094","186.32957458496094"
"485","187.64622497558594","187.64622497558594","187.64622497558594"
"486","185.79994201660156","185.79994201660156","185.79994201660156"
"487","187.1259765625","187.1259765625","187.1259765625"
"488","186.78363037109375","186.78363037109375","186.78363037109375"
"489","187.2938995361328","187.2938995361328","187.2938995361328"
"490","187.73162841796875","187.73162841796875","187.73162841796875"
"491","188.05015563964844","188.05015563964844","188.05015563964844"
"492","188.14419555664062","188.14419555664062","188.14419555664062"
"493","186.44984436035156","186.44984436035156","186.44984436035156"
