"Step","ctrl_cost 0.5 ant leg weight 1 - valid_returns","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MIN","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MAX"
"204","-12.711665153503418","-12.711665153503418","-12.711665153503418"
"205","-12.700867652893066","-12.700867652893066","-12.700867652893066"
"206","-13.1551513671875","-13.1551513671875","-13.1551513671875"
"207","-12.774492263793945","-12.774492263793945","-12.774492263793945"
"208","-13.11392593383789","-13.11392593383789","-13.11392593383789"
"209","-12.334668159484863","-12.334668159484863","-12.334668159484863"
"210","-12.602787017822266","-12.602787017822266","-12.602787017822266"
"211","-11.695722579956055","-11.695722579956055","-11.695722579956055"
"212","-12.067962646484375","-12.067962646484375","-12.067962646484375"
"213","-12.36126708984375","-12.36126708984375","-12.36126708984375"
"214","-11.677895545959473","-11.677895545959473","-11.677895545959473"
"215","-11.36123275756836","-11.36123275756836","-11.36123275756836"
"216","-11.5295991897583","-11.5295991897583","-11.5295991897583"
"217","-11.7374849319458","-11.7374849319458","-11.7374849319458"
"218","-11.574626922607422","-11.574626922607422","-11.574626922607422"
"219","-11.410058975219727","-11.410058975219727","-11.410058975219727"
"220","-11.243180274963379","-11.243180274963379","-11.243180274963379"
"221","-10.981005668640137","-10.981005668640137","-10.981005668640137"
"222","-10.924677848815918","-10.924677848815918","-10.924677848815918"
"223","-11.434626579284668","-11.434626579284668","-11.434626579284668"
"224","-11.438276290893555","-11.438276290893555","-11.438276290893555"
"225","-11.068613052368164","-11.068613052368164","-11.068613052368164"
"226","-11.007076263427734","-11.007076263427734","-11.007076263427734"
"227","-11.498135566711426","-11.498135566711426","-11.498135566711426"
"228","-10.357651710510254","-10.357651710510254","-10.357651710510254"
"229","-10.085786819458008","-10.085786819458008","-10.085786819458008"
"230","-10.445430755615234","-10.445430755615234","-10.445430755615234"
"231","-10.003952026367188","-10.003952026367188","-10.003952026367188"
"232","-10.403547286987305","-10.403547286987305","-10.403547286987305"
"233","-9.581076622009277","-9.581076622009277","-9.581076622009277"
"234","-10.026541709899902","-10.026541709899902","-10.026541709899902"
"235","-9.646944999694824","-9.646944999694824","-9.646944999694824"
"236","-9.129737854003906","-9.129737854003906","-9.129737854003906"
"237","-10.193709373474121","-10.193709373474121","-10.193709373474121"
"238","-9.141927719116211","-9.141927719116211","-9.141927719116211"
"239","-8.453105926513672","-8.453105926513672","-8.453105926513672"
"240","-9.60328483581543","-9.60328483581543","-9.60328483581543"
"241","-9.076294898986816","-9.076294898986816","-9.076294898986816"
