"Step","ctrl_cost 0.5 ant box weight 1 - valid_returns","ctrl_cost 0.5 ant box weight 1 - valid_returns__MIN","ctrl_cost 0.5 ant box weight 1 - valid_returns__MAX"
"380","-105.13581085205078","-105.13581085205078","-105.13581085205078"
"381","-104.65203094482422","-104.65203094482422","-104.65203094482422"
"382","-104.556640625","-104.556640625","-104.556640625"
"383","-104.08663940429688","-104.08663940429688","-104.08663940429688"
"384","-105.4616928100586","-105.4616928100586","-105.4616928100586"
"385","-102.9159927368164","-102.9159927368164","-102.9159927368164"
"386","-103.54757690429688","-103.54757690429688","-103.54757690429688"
"387","-104.03868103027344","-104.03868103027344","-104.03868103027344"
"388","-102.09976196289062","-102.09976196289062","-102.09976196289062"
"389","-102.60906982421875","-102.60906982421875","-102.60906982421875"
"390","-102.6484603881836","-102.6484603881836","-102.6484603881836"
"391","-100.58106231689453","-100.58106231689453","-100.58106231689453"
"392","-99.8486557006836","-99.8486557006836","-99.8486557006836"
"393","-100.2609634399414","-100.2609634399414","-100.2609634399414"
"394","-99.52039337158203","-99.52039337158203","-99.52039337158203"
"395","-97.92442321777344","-97.92442321777344","-97.92442321777344"
"396","-96.51512908935547","-96.51512908935547","-96.51512908935547"
"397","-98.09288787841797","-98.09288787841797","-98.09288787841797"
"398","-96.37943267822266","-96.37943267822266","-96.37943267822266"
"399","-96.1671371459961","-96.1671371459961","-96.1671371459961"
"400","-95.62190246582031","-95.62190246582031","-95.62190246582031"
"401","-93.95669555664062","-93.95669555664062","-93.95669555664062"
"402","-93.63128662109375","-93.63128662109375","-93.63128662109375"
"403","-93.23481750488281","-93.23481750488281","-93.23481750488281"
"404","-92.96945190429688","-92.96945190429688","-92.96945190429688"
"405","-92.79252624511719","-92.79252624511719","-92.79252624511719"
"406","-92.72303771972656","-92.72303771972656","-92.72303771972656"
"407","-89.8602523803711","-89.8602523803711","-89.8602523803711"
"408","-90.32038879394531","-90.32038879394531","-90.32038879394531"
"409","-91.7893295288086","-91.7893295288086","-91.7893295288086"
"410","-87.11544036865234","-87.11544036865234","-87.11544036865234"
"411","-87.9935073852539","-87.9935073852539","-87.9935073852539"
"412","-86.76332092285156","-86.76332092285156","-86.76332092285156"
"413","-87.64354705810547","-87.64354705810547","-87.64354705810547"
"414","-85.4009780883789","-85.4009780883789","-85.4009780883789"
"415","-84.4398422241211","-84.4398422241211","-84.4398422241211"
"416","-84.0566635131836","-84.0566635131836","-84.0566635131836"
"417","-83.0013656616211","-83.0013656616211","-83.0013656616211"
"418","-81.66415405273438","-81.66415405273438","-81.66415405273438"
"419","-81.5075912475586","-81.5075912475586","-81.5075912475586"
"420","-80.51258850097656","-80.51258850097656","-80.51258850097656"
"421","-78.07923126220703","-78.07923126220703","-78.07923126220703"
"422","-79.86703491210938","-79.86703491210938","-79.86703491210938"
"423","-77.67333984375","-77.67333984375","-77.67333984375"
"424","-77.36071014404297","-77.36071014404297","-77.36071014404297"
"425","-77.17094421386719","-77.17094421386719","-77.17094421386719"
"426","-74.89392852783203","-74.89392852783203","-74.89392852783203"
"427","-76.5093765258789","-76.5093765258789","-76.5093765258789"
"428","-74.92607116699219","-74.92607116699219","-74.92607116699219"
"429","-74.62738037109375","-74.62738037109375","-74.62738037109375"
"430","-72.81988525390625","-72.81988525390625","-72.81988525390625"
"431","-71.15945434570312","-71.15945434570312","-71.15945434570312"
"432","-69.98401641845703","-69.98401641845703","-69.98401641845703"
"433","-69.53936767578125","-69.53936767578125","-69.53936767578125"
"434","-69.38116455078125","-69.38116455078125","-69.38116455078125"
"435","-67.25666809082031","-67.25666809082031","-67.25666809082031"
"436","-68.07392883300781","-68.07392883300781","-68.07392883300781"
"437","-66.24931335449219","-66.24931335449219","-66.24931335449219"
"438","-62.85149002075195","-62.85149002075195","-62.85149002075195"
"439","-63.039432525634766","-63.039432525634766","-63.039432525634766"
"440","-63.448875427246094","-63.448875427246094","-63.448875427246094"
"441","-61.0451774597168","-61.0451774597168","-61.0451774597168"
